"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Fri Feb 10 15:47:24 GMT 2023","Fri Feb 10 15:47:27 GMT 2023","2427","tests","test_login","TestLogin","","","Login with valid credentials test","valid login"
"broken","Fri Feb 10 15:48:22 GMT 2023","Fri Feb 10 15:48:24 GMT 2023","2224","tests","test_workspaces","TestWorkspaces","","","Search for non existing project","Search for a non existing project"
"broken","Fri Feb 10 15:47:42 GMT 2023","Fri Feb 10 15:47:45 GMT 2023","2318","tests","test_workspaces","TestWorkspaces","","","Rename an existing workspace test","Rename an existing workspace"
"broken","Fri Feb 10 15:49:12 GMT 2023","Fri Feb 10 15:49:26 GMT 2023","13347","tests","test_forgot_password","TestForgotPassword","","","Exception test","Exception catching"
"broken","Fri Feb 10 15:48:27 GMT 2023","Fri Feb 10 15:48:29 GMT 2023","1778","tests","test_workspaces","TestWorkspaces","","","Cancel a project deletion","Cancel project deletion"
"broken","Fri Feb 10 15:47:36 GMT 2023","Fri Feb 10 15:47:38 GMT 2023","2229","tests","test_login","TestLogin","","","Logout of system test","Log out from app"
"broken","Fri Feb 10 15:48:33 GMT 2023","Fri Feb 10 15:48:34 GMT 2023","1584","tests","test_workspaces","TestWorkspaces","","","Delete existing project","Deleting an existing project from workspace"
"broken","Fri Feb 10 15:48:16 GMT 2023","Fri Feb 10 15:48:18 GMT 2023","2297","tests","test_workspaces","TestWorkspaces","","","Search for existing project test","Search for an existing project"
"broken","Fri Feb 10 15:48:55 GMT 2023","Fri Feb 10 15:49:09 GMT 2023","13330","tests","test_forgot_password","TestForgotPassword","","","Forgot Password with invalid email test","Forgot Password with invalid email address"
"broken","Fri Feb 10 15:47:59 GMT 2023","Fri Feb 10 15:48:02 GMT 2023","2312","tests","test_workspaces","TestWorkspaces","","","Delete existing workspace","Delete an existing workspace"
"broken","Fri Feb 10 15:48:38 GMT 2023","Fri Feb 10 15:48:52 GMT 2023","13684","tests","test_forgot_password","TestForgotPassword","","","Forgot Password with valid email test","Forgot password with a valid email address"
"broken","Fri Feb 10 15:48:05 GMT 2023","Fri Feb 10 15:48:07 GMT 2023","2109","tests","test_workspaces","TestWorkspaces","","","Number of projects displayed in page test","Compare between the actual number of projects seen on page and the number shown in workspaces block"
"broken","Fri Feb 10 15:47:54 GMT 2023","Fri Feb 10 15:47:56 GMT 2023","2228","tests","test_login","TestLogin","","","Login with invalid credentials test","invalid login"
"broken","Fri Feb 10 15:48:11 GMT 2023","Fri Feb 10 15:48:13 GMT 2023","2284","tests","test_workspaces","TestWorkspaces","","","Add project to workspace test","Selecting and adding a project to workspace"
"broken","Fri Feb 10 15:47:30 GMT 2023","Fri Feb 10 15:47:32 GMT 2023","2240","tests","test_workspaces","TestWorkspaces","","","Create new workspace test","Create new Workspace"
"skipped","Fri Feb 10 15:49:26 GMT 2023","Fri Feb 10 15:49:26 GMT 2023","0","tests","test_login","TestLogin","","","Skipped test example","Skip Test example"
"broken","Fri Feb 10 15:47:48 GMT 2023","Fri Feb 10 15:47:50 GMT 2023","2270","tests","test_login","TestLogin","","","Login with invalid credentials test","invalid login"
